isoform.ID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
AC3.12,0.509361505508423,-0.327177822589874,0.196993101361069,0.178739430808663,0.162352734804153,0.939912438392639,-0.789631488795912,-0.0269126030962136
AH9.4,0.641931176185608,-0.199881076812744,0.114540695435861,0.0816901329500193,0.411972612142563,0.837842047214508,-0.385131654818118,-0.0768378483015833
AH9.6,0.974681675434113,-0.0171305034309626,0.156861040284541,0.073640620199657,0.66525673866272,1.2485853433609,-0.177010717604514,0.0964182326176607
AH10.1,1.85553622245789,0.267352700233459,0.132429144668209,0.0312641640690714,1.60331118106842,2.11756348609924,0.205017821234497,0.325836439663555
B0001.2,0.84002012014389,-0.0781893581151962,0.088461931757876,0.0468781266560467,0.664875869452953,1.02562411328157,-0.17725985308693,0.0109627387693723
B0035.8,3.7002899646759,0.566074013710022,0.372338386141633,0.0432295309237182,3.0796434879303,4.64854669570923,0.488500443712716,0.66731719790376
B0035.16,0.339578062295914,-0.490924715995789,0.103656811967384,0.142186725006507,0.157300233840942,0.553853809833527,-0.803270631758433,-0.256604852529575
B0047.4,1.03116583824158,0.00470322603359818,0.201850800997761,0.0876341441826048,0.646397709846497,1.37719368934631,-0.189500190913531,0.138995023988813
B0222.9,0.533482313156128,-0.276730090379715,0.070500803834225,0.0581737385720791,0.413114964962006,0.663709580898285,-0.383929072554995,-0.178021913107958
B0222.15,0.68449205160141,-0.188232362270355,0.221561484395055,0.146513122280926,0.30835884809494,1.18086159229279,-0.510943585348018,0.0721989973374266
B0238.6,0.421787828207016,-0.39372855424881,0.123511640097164,0.129741268903772,0.214194282889366,0.702544557551543,-0.669192125206947,-0.153344527398073
B0280.11,0.767594516277313,-0.121825195848942,0.13737310086162,0.078321103498693,0.548868089914322,1.03997948269049,-0.260543972168384,0.0170175234242499
B0284.1,0.569357097148895,-0.256454229354858,0.125858798910725,0.105353398291152,0.295328289270401,0.81178836474816,-0.529694950306895,-0.0905587403644417
B0303.14,1.21178328990936,0.0804688259959221,0.138593470208661,0.0513469157450298,0.945076584815979,1.46526801586151,-0.0245329967655469,0.165917069853104
B0304.2,1.51676177978516,0.176955178380013,0.20426324892205,0.0589481523586828,1.11467933654785,2.00926733016968,0.0471499504362637,0.303037722857619
B0304.3,0.499948114156723,-0.31093442440033,0.103067742693811,0.0947348011012926,0.277295976877213,0.686651783684889,-0.557056431297368,-0.163264479349327
B0348.10,0.804308295249939,-0.12760791182518,0.308485229339522,0.174293762360483,0.318114161491394,1.41854339838028,-0.497416996970378,0.15184262348794
B0361.8,0.564173519611359,-0.258172243833542,0.115890879627291,0.0926918122442108,0.352199643850327,0.772980391979218,-0.453211087533751,-0.111831522592973
B0379.1a,1.29472422599792,0.1057273671031,0.21569819901039,0.0765438229785003,0.849645075201988,1.69554877281189,-0.0707755851992393,0.229310286864573
B0393.5,0.337441742420197,-0.482702553272247,0.072527677719022,0.100247601107009,0.190149247646332,0.475742435703675,-0.720905388599456,-0.322630847672769
B0414.1,0.279473572969437,-0.576299428939819,0.0881126962647313,0.143827574727313,0.13038931787014,0.478646695613861,-0.884757986672201,-0.31998493493658
B0432.9,0.905998945236206,-0.0502318367362022,0.163515382120432,0.0812186885756818,0.582807600498199,1.27689957618713,-0.23447479315307,0.106156742821159
B0454.2,0.824309825897217,-0.0893222391605377,0.127872097360458,0.0694690487739806,0.594193041324615,1.0489536523819,-0.226072438584218,0.0207562994810027
B0464.8,0.684701859951019,-0.17224882543087,0.126459195220761,0.0836215303954641,0.441777866333723,0.985666879018146,-0.354796089998339,-0.00650374917958849
B0495.1,0.281177073717117,-0.572331786155701,0.0875399507914136,0.137815666356983,0.147689759731293,0.488090813159943,-0.830649616037873,-0.311499366552638
B0495.6,0.969738781452179,-0.0348240435123444,0.297059202770231,0.140789174567086,0.459346085786819,1.68379330635071,-0.337859980014599,0.226288778719033
B0507.1,0.877018809318542,-0.0613243579864502,0.12401308181662,0.0615261981738308,0.654499411582947,1.13283026218414,-0.184090739558442,0.0541648421501045
B0507.11,0.269017726182938,-0.597362697124481,0.0938036983403207,0.157204816036989,0.117407016456127,0.49725353717804,-0.930305948087353,-0.303422118869308
B0554.4,0.546978235244751,-0.271850228309631,0.112520193565842,0.0944325613697194,0.336366474628448,0.757575452327728,-0.473187296493122,-0.120574106195031
BE0003N10.2,1.19918060302734,0.0764610096812248,0.126499517393228,0.0460149119083869,0.963008590042591,1.46046710014343,-0.0163734090804613,0.164491778093481
BE10.2,0.817843317985535,-0.0924153551459312,0.124768560699866,0.0668129527948236,0.581347584724426,1.08578261931737,-0.235564127521084,0.0357426179526482
C01B4.10,0.489591091871262,-0.323154598474503,0.117433428998562,0.108035028281224,0.278647065162659,0.713068604469299,-0.55494552677026,-0.146868684581325
C01B12.2,0.56800252199173,-0.258124858140945,0.129716767030583,0.107622566019508,0.320250583936771,0.809918940067291,-0.494512416021544,-0.091558444878255
C01B12.4,0.524228155612946,-0.29183241724968,0.118791569159923,0.100262459717614,0.316376507282257,0.761333763599396,-0.499795772761204,-0.118424909705234
C01C10.3,1.0852267742157,0.0315607488155365,0.145382007515676,0.0590571930591355,0.798649787902832,1.40997898578644,-0.0976436193389344,0.149212640013536
C01F1.2,1.06829333305359,0.0237382128834724,0.160243638550632,0.06604197106206,0.758622278769811,1.40226233005524,-0.119976195546233,0.14682926743813
C01G10.10a,0.721289038658142,-0.148638352751732,0.123640953717951,0.0781557380288861,0.4639593064785,0.9783385237058,-0.33352010941679,-0.00951627766853289
C01G12.7,1.10722720623016,0.0411100685596466,0.132961883401243,0.0522093353911855,0.878896355628967,1.40074837207794,-0.0560623363396062,0.146360126411441
C02A12.1,1.99136090278625,0.296650439500809,0.212739339498086,0.0468108015719997,1.60789656639099,2.37212038040161,0.206258107789022,0.375136724834535
C02E7.10,1.24192380905151,0.0815103948116302,0.287190341561822,0.107590534281255,0.662598371505737,1.82442951202393,-0.178749635835497,0.261127088785672
C02F5.13,0.542852759361267,-0.282770127058029,0.150105782551333,0.125983496778214,0.27496816466252,0.893998057146867,-0.560725305382957,-0.0486702178338947
C03A3.2,1.25734341144562,0.0975334271788597,0.117827452266024,0.0410097563609548,0.999807894229889,1.49251412153244,-8.34384906654017e-05,0.17390969110777
C03A7.7,2.97530817985535,0.472014516592026,0.248871386613389,0.0363736423163475,2.49632883071899,3.55183203021685,0.39730179253302,0.550451857145286
