geneName,mean_phi,mean_sd,mean_length,mean_logPhi,mean_logSd,median_phi,median_sd,median_length,median_logPhi,median_logSd,n_isoforms
2L52.1,0.51848116517067,1.07339658404333e-05,973.5,-0.296238571405411,1.04483940163511e-05,0.51848116517067,1.07339658404333e-05,973.5,-0.296238571405411,1.04483940163511e-05,2
3R5.2,1.65129458904266,2.05572413630837e-05,447,0.214458078145981,5.4431289566596e-06,1.65129458904266,2.05572413630837e-05,447,0.214458078145981,5.4431289566596e-06,1
4R79.2,0.575564056634903,1.04257530877968e-05,1062,-0.248645976185799,8.95261228051691e-06,0.575564056634903,1.04257530877968e-05,1062,-0.248645976185799,8.95261228051691e-06,2
6R55.2,0.672691583633423,1.6806820763748e-05,258,-0.186726093292236,1.15792386256887e-05,0.672691583633423,1.6806820763748e-05,258,-0.186726093292236,1.15792386256887e-05,1
aagr-1,0.854117095470428,7.68444827757666e-06,2811,-0.0701426714658737,3.76418244413051e-06,0.854117095470428,7.68444827757666e-06,2811,-0.0701426714658737,3.76418244413051e-06,1
aagr-2,0.845642507076263,7.27841679150703e-06,2868,-0.0743800327181816,3.67689137513838e-06,0.845642507076263,7.27841679150703e-06,2868,-0.0743800327181816,3.67689137513838e-06,1
aagr-3,1.14634033044179,8.81155797991159e-06,2496,0.0580898374319077,3.20217019279987e-06,1.15041244029999,8.34977501152783e-06,2733,0.0597763657569885,3.02579113154444e-06,3
aagr-4,1.2724244594574,8.86850061650706e-06,2712,0.103625290095806,2.9327285401211e-06,1.2724244594574,8.86850061650706e-06,2712,0.103625290095806,2.9327285401211e-06,1
aak-1,0.660740345716476,9.2169173462793e-06,1513.5,-0.186017066240311,6.55721374704401e-06,0.660740345716476,9.2169173462793e-06,1513.5,-0.186017066240311,6.55721374704401e-06,2
aak-2,1.63789590199788,1.30395356368209e-05,1815,0.212986772259077,3.28166676159854e-06,1.62639021873474,1.27550589900726e-05,1875,0.209982126951218,3.25786402773644e-06,3
aakb-1,1.03436994552612,1.32262613236307e-05,810,0.0108816018328071,5.89612798760465e-06,1.03436994552612,1.32262613236307e-05,810,0.0108816018328071,5.89612798760465e-06,1
aakb-2,1.88189506530762,1.87728256129044e-05,825,0.272413700819016,4.43141006476893e-06,1.88189506530762,1.87728256129044e-05,825,0.272413700819016,4.43141006476893e-06,1
aakg-1,0.967569862093245,9.21140669894331e-06,1776.85714285714,-0.0171391144394874,4.3952543168779e-06,0.98446798324585,9.17577964714494e-06,1749,-0.00908281281590462,4.33760998448002e-06,7
aakg-2,1.32831108570099,1.14791946177855e-05,1272,0.121631808578968,3.87689062519767e-06,1.32831108570099,1.14791946177855e-05,1272,0.121631808578968,3.87689062519767e-06,1
aakg-3,0.777885019779205,1.0050847487337e-05,1278,-0.113294430077076,6.3947187418357e-06,0.777885019779205,1.0050847487337e-05,1278,-0.113294430077076,6.3947187418357e-06,1
aakg-4,1.20883131027222,1.42877434866561e-05,921,0.0770341977477076,5.81080457151971e-06,1.20883131027222,1.42877434866561e-05,921,0.0770341977477076,5.81080457151971e-06,2
aakg-5,1.18974655866623,1.03168120513697e-05,1425,0.0737708546221256,3.77601294707463e-06,1.18974655866623,1.03168120513697e-05,1425,0.0737708546221256,3.77601294707463e-06,2
aap-1,0.710899531841278,9.10397718593925e-06,1569,-0.151993677020073,5.88026020072506e-06,0.710899531841278,9.10397718593925e-06,1569,-0.151993677020073,5.88026020072506e-06,1
