gene,phi,logPhi,sd,logSd,0.025,0.975,log10.0.025,log10.0.975
Y74C9A.9,0.998797059059143,-0.044241227209568,4.63899952584602e-5,1.99430278600714e-5,0.368223132689794,2.15898724794388,-0.433888931533102,0.334249987656464
puf-10,0.997133672237396,-0.048460453748703,4.73104595313758e-5,2.14862241816167e-5,0.370405672242244,2.18582856655121,-0.431322371472826,0.339616093932039
Y48G1BM.8,1.00243055820465,-0.046181995421648,4.77446970416624e-5,2.11933618513364e-5,0.359743172178666,2.17904139558474,-0.444007487532152,0.338265402591487
Y92H12BR.4,1.00411808490753,-0.0439764335751534,4.89445267817459e-5,2.02131049472609e-5,0.369293949504693,2.19706661899885,-0.432627812856284,0.341843221188173
Y71G12B.28,0.992572724819183,-0.0496387258172035,4.75623033396682e-5,2.08678431591799e-5,0.365470797320207,2.1852644165357,-0.437147322391211,0.339503992294984
M01D7.1,0.994843721389771,-0.0471370629966259,4.65926008408983e-5,2.02540933421956e-5,0.359487260133028,2.16451091766357,-0.444316591804282,0.335359678920431
F23C8.1,0.989036619663239,-0.0497488118708134,4.68566381730712e-5,2.01906557082011e-5,0.373267457137505,2.16162031491597,-0.427979878271534,0.3347793951433
Y23H5B.7,1.00154972076416,-0.0434790290892124,4.65436637464748e-5,1.98987536800263e-5,0.367593402415514,2.15217707157135,-0.434632307950357,0.332878000247507
cars-2,0.987178802490234,-0.052400141954422,4.68944636308277e-5,2.09352125156627e-5,0.355261025826136,2.17767053047816,-0.449452435970707,0.337992092850708
miro-3,0.990140497684479,-0.0502473562955856,4.71340887047729e-5,2.05976236242929e-5,0.366333899150292,2.17583677570025,-0.436122969243099,0.337626310299132
wago-2,1.00813341140747,-0.0429846085608006,4.92401318805704e-5,2.04943531010457e-5,0.357946137587229,2.19096324841181,-0.446182468162319,0.340635087727029
nhr-266,1.00179970264435,-0.0440267212688923,4.79616758864812e-5,1.99459286007008e-5,0.366209672143062,2.21217123071352,-0.436270230851828,0.344818499086053
rmd-5,0.997672438621521,-0.0455765500664711,4.67812793326429e-5,2.00319558642634e-5,0.364130808661381,2.13517595330874,-0.438742600738272,0.329433666779131
F22D6.14,0.986233174800873,-0.0513956286013126,4.66265100178357e-5,2.03604645397274e-5,0.357643577208122,2.14716477592786,-0.44654957004926,0.331865290912659
F22D6.17,1.00394642353058,-0.0440033301711082,4.89621512635555e-5,2.01781848092483e-5,0.370303532977899,2.1813858350118,-0.431442170314614,0.338732467396884
F27D4.3,0.990718066692352,-0.0492387525737286,4.60092157327064e-5,2.04858980711045e-5,0.354387452701728,2.12235568960508,-0.450521687347636,0.326818091937116
nhr-191,0.991576254367828,-0.0494007617235184,4.65887564676734e-5,2.06050077269266e-5,0.361775455623865,2.16655948758125,-0.441560945680417,0.335770607066283
C04F12.6,1.00582003593445,-0.0448670536279678,4.8015041195082e-5,2.11803389800487e-5,0.367030578603347,2.18070924679438,-0.43529778226009,0.338597764296081
C25A1.17,1.00616800785065,-0.0422535128891468,4.77419613992178e-5,2.00461810371719e-5,0.364100891848405,2.19822711348533,-0.438778273839365,0.342072444580753
Y106G6E.2,0.991573810577393,-0.051040057092905,4.72231508573526e-5,2.11821302864737e-5,0.352764389912287,2.18013981779416,-0.452515541142517,0.338484342622328
T20F10.8,1.00250065326691,-0.0425283536314964,4.66049841546346e-5,1.97115066406841e-5,0.36861353168884903,2.15208644469579,-0.433428783683213,0.332859711723601
Y106G6G.7,0.985112428665161,-0.0516004823148251,4.63436336194337e-5,2.03504245022543e-5,0.358582180490096,2.14731839895248,-0.445411660911515,0.33189644338845
F55A3.7,0.992981374263763,-0.0478106997907162,4.67739876516778e-5,2.00663442597741e-5,0.359511761118968,2.14955510695775,-0.444286962059255,0.332348582300727
Y95D11A.2,1.00104141235352,-0.0432287976145744,4.7279932678186e-5,1.9580827731959e-5,0.377340674151977,2.12998803257942,-0.423266386965253,0.328377163061349
F46A8.1,0.993425488471985,-0.0475471951067448,4.64854632979508e-5,2.01538732886937e-5,0.364024245738983,2.12573981881142,-0.43886973532567,0.327510103038272
F46A8.9,1.00419688224792,-0.0449435040354729,5.1149415773167e-5,2.02427491787743e-5,0.361120826005936,2.19046079913775,-0.442347547320756,0.340535484206724
ZK1025.1,0.999608218669891,-0.0467715486884117,4.81779125932687e-5,2.06676980770356e-5,0.362921797980865,2.17699107925097,-0.440187869681697,0.337856565133612
W04G5.12,0.997321665287018,-0.0491070337593555,4.82022154612492e-5,2.15030112500391e-5,0.365602579216162,2.19249672492345,-0.436990750339548,0.340938122689021
W04G5.13,1.00148403644562,-0.0460533387959003,4.70646011876419e-5,2.12254861075066e-5,0.365493228534857,2.15415923794111,-0.437120696223518,0.333277798752989
F35E2.11,1.00075006484985,-0.0441108085215092,4.77442476143031e-5,1.99195589327408e-5,0.369106808304787,2.17503726879756,-0.432847953424566,0.337466702380928
