isoform.ID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
AC3.12,0.0132993366569281,-2.4224328994751,0.0201388234332196,0.859638555167192,4.00403617580499e-05,0.0724971824636062,-4.39775901117818,-1.13968178009611
AC8.10,0.0680466145277023,-1.31334209442139,0.0366799802991903,0.517804538939567,0.00136543498762573,0.140984722351034,-2.86493727715773,-0.850828664315582
AH9.3,0.0617546364665031,-1.5240226984024,0.0481205817809338,0.778018945720707,0.000125756645623672,0.165269782642523,-3.90305451995601,-0.781817931668855
AH9.4,0.015739431604743,-2.22787404060364,0.0177129617230705,0.778749010443633,8.06135542006814e-05,0.0621960475419958,-4.09360556906666,-1.20623876704839
AH9.6,0.0930113419890404,-1.10805451869965,0.0422338846084168,0.332075755558563,0.0112883052711065,0.174570048972964,-1.94756745526752,-0.758030738063026
AH10.1,0.314878642559052,-0.5039883852005,0.0311056702629579,0.0431868938330703,0.257816391189893,0.381962261597315,-0.588689701338477,-0.417979547208672
B0001.2,0.0785246640443802,-1.1271026134491,0.0228629787265538,0.149620113535214,0.0345463215063016,0.125298023223877,-1.46180534622875,-0.902055780639803
B0035.8,0.81243234872818,-0.0931680649518967,0.0948908943669934,0.0507711184921919,0.637838104367256,1.01466259459654,-0.19528956690043,0.00632134989254037
B0035.16,0.00458451546728611,-2.78623056411743,0.00639938433671323,0.757432783499786,2.92483285647904e-05,0.0232554785907269,-4.53391067473391,-1.6334747184112
B0047.4,0.10421684384346,-1.12542307376862,0.0520193267956318,0.554019929226153,0.000784001838959132,0.201110911617676,-3.11774617799606,-0.696564372027499
B0205.7,0.308537125587463,-0.514420509338379,0.0398559219804174,0.0575162905280437,0.230071236938238,0.385354016969601,-0.638137949352236,-0.414140115131765
B0205.11,0.0126178646460176,-2.38027548789978,0.0169283766283024,0.809077795244361,5.24493473373392e-05,0.0599389155395329,-4.28054040049228,-1.22229386668824
