geneName,WBID
aap-1,WBGene00000001
aat-1,WBGene00000002
aat-2,WBGene00000003
aat-3,WBGene00000004
aat-4,WBGene00000005
aat-5,WBGene00000006
aat-6,WBGene00000007
aat-7,WBGene00000008
aat-8,WBGene00000009
aat-9,WBGene00000010
abf-1,WBGene00000012
abf-2,WBGene00000013
abf-3,WBGene00000014
abf-4,WBGene00000015
abf-5,WBGene00000016
abf-6,WBGene00000017
abl-1,WBGene00000018
abt-1,WBGene00000019
abt-2,WBGene00000020
abt-4,WBGene00000022
abt-5,WBGene00000023
abu-1,WBGene00000024
abu-2,WBGene00000025
abu-3,WBGene00000026
abu-4,WBGene00000027
abu-5,WBGene00000028
abu-6,WBGene00000029
abu-7,WBGene00000030
abu-8,WBGene00000031
abu-9,WBGene00000032
abu-10,WBGene00000033
abu-11,WBGene00000034
ace-1,WBGene00000035
ace-2,WBGene00000036
ace-3,WBGene00000037
ace-4,WBGene00000038
acn-1,WBGene00000039
aco-1,WBGene00000040
aco-2,WBGene00000041
acr-2,WBGene00000042
acr-3,WBGene00000043
acr-5,WBGene00000044
acr-6,WBGene00000045
acr-7,WBGene00000046
acr-8,WBGene00000047
acr-9,WBGene00000048
acr-10,WBGene00000049
acr-11,WBGene00000050
acr-12,WBGene00000051
acr-14,WBGene00000053
acr-15,WBGene00000054
acr-16,WBGene00000055
acr-17,WBGene00000056
acr-18,WBGene00000057
acr-19,WBGene00000058
acr-20,WBGene00000059
acr-21,WBGene00000060
lgc-11,WBGene00000061
acr-23,WBGene00000062
act-1,WBGene00000063
act-2,WBGene00000064
act-3,WBGene00000065
act-4,WBGene00000066
act-5,WBGene00000067
acy-1,WBGene00000068
acy-2,WBGene00000069
acy-3,WBGene00000070
acy-4,WBGene00000071
add-1,WBGene00000072
add-2,WBGene00000073
adm-2,WBGene00000074
adm-4,WBGene00000075
adr-1,WBGene00000079
adr-2,WBGene00000080
ads-1,WBGene00000081
adt-1,WBGene00000082
adt-2,WBGene00000083
aex-1,WBGene00000084
aex-2,WBGene00000085
aex-3,WBGene00000086
aex-5,WBGene00000088
aex-6,WBGene00000089
age-1,WBGene00000090
ags-3,WBGene00000092
agt-1,WBGene00000093
agt-2,WBGene00000094
aha-1,WBGene00000095
ahr-1,WBGene00000096
aip-1,WBGene00000097
air-1,WBGene00000098
air-2,WBGene00000099
ajm-1,WBGene00000100
aka-1,WBGene00000101
akt-1,WBGene00000102
akt-2,WBGene00000103
alg-1,WBGene00000105
alg-2,WBGene00000106
alh-1,WBGene00000107
alh-2,WBGene00000108
alh-3,WBGene00000109
alh-4,WBGene00000110
alh-5,WBGene00000111
alh-6,WBGene00000112
alh-7,WBGene00000113
alh-8,WBGene00000114
alh-9,WBGene00000115
alh-10,WBGene00000116
alh-11,WBGene00000117
alh-12,WBGene00000118
aly-1,WBGene00000120
aly-2,WBGene00000121
aly-3,WBGene00000122
ama-1,WBGene00000123
amt-1,WBGene00000133
amt-2,WBGene00000134
amt-3,WBGene00000135
amt-4,WBGene00000136
amx-1,WBGene00000137
amx-2,WBGene00000138
amx-3,WBGene00000139
anc-1,WBGene00000140
aos-1,WBGene00000142
apc-2,WBGene00000143
apc-10,WBGene00000144
apc-11,WBGene00000145
ape-1,WBGene00000146
aph-1,WBGene00000147
aph-2,WBGene00000148
apl-1,WBGene00000149
apm-1,WBGene00000150
apn-1,WBGene00000151
app-1,WBGene00000155
apr-1,WBGene00000156
aps-2,WBGene00000157
apg-1,WBGene00000158
aps-1,WBGene00000159
apb-1,WBGene00000160
apa-2,WBGene00000161
apd-3,WBGene00000162
apb-3,WBGene00000163
apm-3,WBGene00000164
aps-3,WBGene00000165
apt-9,WBGene00000166
apx-1,WBGene00000168
aqp-1,WBGene00000169
aqp-2,WBGene00000170
aqp-3,WBGene00000171
aqp-4,WBGene00000172
aqp-5,WBGene00000173
aqp-6,WBGene00000174
aqp-7,WBGene00000175
aqp-8,WBGene00000176
aqp-9,WBGene00000177
aqp-10,WBGene00000178
aqp-11,WBGene00000179
arc-1,WBGene00000180
ard-1,WBGene00000181
arf-1.2,WBGene00000182
arf-3,WBGene00000183
arf-6,WBGene00000184
arg-1,WBGene00000185
ark-1,WBGene00000186
