"","WBID","Phi_WholeGenome","elongating.embryo.Ce","L1.larva.Ce","dauer.larva.Ce","adult.Ce","L2L3_larva","PHI_Adult","PHI_Dauer","PHI_Emb","PHI_L1","PHI_L2L3"
"1","WBGene00000001",0.711678803,4208,12140,5547,2246,2369,NA,NA,NA,NA,NA
"2","WBGene00000002",0.961336136,12554,7828,831,280,2591,NA,NA,0.859369218,NA,NA
"3","WBGene00000003",1.025294542,7180,11253,570,212,2466,NA,NA,NA,0.860994518,NA
"4","WBGene00000004",1.185450435,33305,26947,3212,576,5391,NA,NA,NA,NA,NA
"5","WBGene00000004",1.185762405,33305,26947,3212,576,5391,NA,NA,NA,NA,NA
"6","WBGene00000005",0.694210708,595,132,37,281,1410,NA,NA,NA,NA,NA
"7","WBGene00000006",1.449407339,425,12243,3146,228,2446,NA,NA,NA,1.133826613,NA
"8","WBGene00000007",0.812606454,36,314,129,197,1719,NA,NA,NA,NA,NA
"9","WBGene00000007",0.812656164,36,314,129,197,1719,NA,NA,NA,NA,NA
"10","WBGene00000008",0.758670092,0,19,663,19,182,NA,NA,NA,NA,NA
"11","WBGene00000009",0.891850889,71,416,193,20,64,NA,NA,NA,NA,NA
"12","WBGene00000010",1.114153028,2316,9228,2911,2102,2560,NA,NA,NA,NA,NA
"13","WBGene00000010",1.1122545,2316,9228,2911,2102,2560,NA,NA,NA,NA,NA
"14","WBGene00000012",1.023026705,10,55,24,12,13,NA,NA,NA,NA,NA
"15","WBGene00000013",1.335892439,3,894,2312,7,141,NA,NA,NA,NA,NA
"16","WBGene00000014",0.57169193,0,23,15,0,1,NA,NA,NA,NA,NA
"17","WBGene00000015",0.876806855,1,13,43,0,8,NA,NA,NA,NA,NA
"18","WBGene00000016",0.993073463,4,5461,1059,70,854,NA,NA,NA,0.736124516,NA
"19","WBGene00000017",0.761195183,32,20223,1667,136,1165,NA,NA,NA,0.580071688,NA
"20","WBGene00000019",0.610272825,19,41,26,138,412,NA,NA,NA,NA,NA
"21","WBGene00000019",0.590327024,19,41,26,138,412,NA,NA,NA,NA,NA
"22","WBGene00000020",1.299657941,983,41841,4596,937,4381,NA,NA,NA,0.982431412,NA
"23","WBGene00000020",1.287675261,983,41841,4596,937,4381,NA,NA,NA,0.982431412,NA
"24","WBGene00000022",1.519235492,574,18159,1215,1806,5770,NA,NA,NA,1.32096982,NA
"25","WBGene00000023",0.812869191,195,208,9,197,524,NA,NA,NA,NA,NA
"26","WBGene00000024",1.332427382,1,50,8,48,444,NA,NA,NA,NA,NA
"27","WBGene00000025",1.051956177,10,92,250,4,10,NA,NA,NA,NA,NA
"28","WBGene00000027",1.1778512,7,13,3,3,19,NA,NA,NA,NA,NA
"29","WBGene00000028",1.154295206,0,5,3,0,2,NA,NA,NA,NA,NA
"30","WBGene00000029",2.054478645,2,2,4,34,438,NA,NA,NA,NA,NA
"31","WBGene00000030",2.104159355,0,30,176,28,302,NA,NA,NA,NA,NA
"32","WBGene00000031",2.250754356,34,4270,396,111,2220,NA,NA,NA,NA,NA
"33","WBGene00000032",1.363697767,0,0,18,0,4,NA,NA,NA,NA,NA
"34","WBGene00000033",2.081719398,4,726,49,125,1365,NA,NA,NA,NA,NA
"35","WBGene00000034",2.161551476,28,1016,295,135,1710,NA,NA,NA,NA,NA
"36","WBGene00000035",0.644400299,2134,4609,1679,194,1182,NA,NA,NA,NA,NA
"37","WBGene00000036",0.791116595,2705,18078,1948,292,1658,NA,NA,NA,0.451380342,NA
"38","WBGene00000037",0.956090629,5475,19362,1338,62,1171,NA,NA,NA,0.6020298,NA
"39","WBGene00000038",1.125061393,642,6940,422,13,432,NA,NA,NA,0.802422464,NA
"40","WBGene00000039",1.26766789,79070,1298,1656,204,52073,NA,NA,1.232854843,NA,NA
"41","WBGene00000040",1.668827891,19327,111381,4210,12370,63001,NA,NA,NA,1.875228167,NA
"42","WBGene00000041",1.942364693,19166,135273,68426,24566,65365,NA,NA,NA,NA,NA
"43","WBGene00000042",0.815530539,86,1480,554,16,269,NA,NA,NA,NA,NA
"44","WBGene00000043",0.62336725,16,870,207,12,188,NA,NA,NA,NA,NA
"45","WBGene00000044",0.508837461,17,1827,879,18,247,NA,NA,NA,NA,NA
"46","WBGene00000045",0.688196123,22,205,139,3,60,NA,NA,NA,NA,NA
"47","WBGene00000046",0.406846344,745,484,138,9,177,NA,NA,NA,NA,NA
"48","WBGene00000047",0.55044353,1772,2815,401,24,899,NA,NA,NA,NA,NA
"49","WBGene00000048",0.727605522,189,541,112,7,137,NA,NA,NA,NA,NA
"50","WBGene00000049",0.682830691,27,576,64,8,72,NA,NA,NA,NA,NA
"51","WBGene00000050",0.597623885,169,496,150,25,153,NA,NA,NA,NA,NA
"52","WBGene00000051",0.813619673,432,1780,571,45,407,NA,NA,NA,NA,NA
"53","WBGene00000051",0.850513399,432,1780,571,45,407,NA,NA,NA,NA,NA
"54","WBGene00000053",0.374964744,266,738,325,3,101,NA,NA,NA,NA,NA
"55","WBGene00000054",0.641904771,423,1524,856,57,505,NA,NA,NA,NA,NA
"56","WBGene00000056",1.111188531,25,868,369,52,135,NA,NA,NA,NA,NA
"57","WBGene00000056",1.095609426,25,868,369,52,135,NA,NA,NA,NA,NA
"58","WBGene00000057",0.910921395,14,1426,843,74,210,NA,NA,NA,NA,NA
"59","WBGene00000058",0.454571038,315,4348,690,18,325,NA,NA,NA,NA,NA
"60","WBGene00000058",0.450541198,315,4348,690,18,325,NA,NA,NA,NA,NA
"61","WBGene00000059",1.207271576,67,1909,571,23,283,NA,NA,NA,NA,NA
"62","WBGene00000059",1.173332214,67,1909,571,23,283,NA,NA,NA,NA,NA
"63","WBGene00000059",1.169125676,67,1909,571,23,283,NA,NA,NA,NA,NA
"64","WBGene00000061",0.507395804,134,1796,129,6,131,NA,NA,NA,NA,NA
"65","WBGene00000062",0.9652372,41,1128,550,2,317,NA,NA,NA,NA,NA
"66","WBGene00000065",3.146283388,25702,50193,14069,9741,96135,NA,NA,NA,NA,NA
"67","WBGene00000066",3.519280434,294102,1300918,78461,136492,332258,NA,NA,NA,4.637758255,NA
"68","WBGene00000067",2.851328611,19010,74460,5831,26393,173036,NA,NA,NA,NA,1.577824473
"69","WBGene00000068",0.729713738,6575,25587,7822,349,4330,NA,NA,NA,0.513242006,NA
"70","WBGene00000069",0.619816482,419,6765,1436,27,420,NA,NA,NA,0.306791425,NA
"71","WBGene00000070",0.705726922,6506,9378,2848,493,5244,NA,NA,NA,NA,NA
"72","WBGene00000071",0.727136552,876,3565,1925,239,952,NA,NA,NA,NA,NA
"73","WBGene00000072",0.924291909,914,6051,796,340,2018,NA,NA,NA,0.684189558,NA
"74","WBGene00000072",0.897833228,914,6051,796,340,2018,NA,NA,NA,0.684189558,NA
"75","WBGene00000073",0.691175997,2731,5657,21660,666,1843,NA,0.275158972,NA,NA,NA
"76","WBGene00000073",0.534454226,2731,5657,21660,666,1843,NA,0.275158972,NA,NA,NA
"77","WBGene00000074",1.083423138,3733,29894,3078,1233,2822,NA,NA,NA,0.827510595,NA
"78","WBGene00000075",0.94019568,1126,1913,753,813,1380,NA,NA,NA,NA,NA
"79","WBGene00000079",1.097023249,14615,9644,9442,3974,8700,NA,NA,NA,NA,NA
"80","WBGene00000079",1.120027304,14615,9644,9442,3974,8700,NA,NA,NA,NA,NA
"81","WBGene00000079",1.118806481,14615,9644,9442,3974,8700,NA,NA,NA,NA,NA
"82","WBGene00000079",1.247435689,14615,9644,9442,3974,8700,NA,NA,NA,NA,NA
"83","WBGene00000079",1.436361194,14615,9644,9442,3974,8700,NA,NA,NA,NA,NA
"84","WBGene00000080",0.866126955,7321,5524,4697,2461,3092,NA,NA,NA,NA,NA
"85","WBGene00000081",1.857356429,8546,26513,5967,4040,16379,NA,NA,NA,NA,NA
"86","WBGene00000082",0.726581097,1381,2058,205,86,1517,NA,NA,NA,NA,NA
"87","WBGene00000083",0.821953595,1375,22103,4037,3356,12919,NA,NA,NA,0.855074286,NA
"88","WBGene00000083",1.01313436,1375,22103,4037,3356,12919,NA,NA,NA,0.855074286,NA
"89","WBGene00000083",0.996578395,1375,22103,4037,3356,12919,NA,NA,NA,0.855074286,NA
"90","WBGene00000084",0.313432813,280,1285,397,208,1295,NA,NA,NA,NA,NA
"91","WBGene00000084",0.294459373,280,1285,397,208,1295,NA,NA,NA,NA,NA
"92","WBGene00000085",0.728245437,92,1059,565,33,263,NA,NA,NA,NA,NA
"93","WBGene00000086",0.834965706,9502,26086,6197,359,2502,NA,NA,NA,0.583086252,NA
"94","WBGene00000088",0.838423908,108,8530,644,432,1934,NA,NA,NA,0.556650579,NA
"95","WBGene00000089",1.179368019,279,6875,1325,144,1218,NA,NA,NA,0.926421165,NA
"96","WBGene00000090",1.364496231,3987,19715,4715,4633,3267,NA,NA,NA,1.212253332,NA
"97","WBGene00000092",1.313792348,6738,52592,5579,1116,2350,NA,NA,NA,1.075025797,NA
"98","WBGene00000093",1.172098994,1152,1155,1364,537,997,NA,NA,NA,NA,NA
"99","WBGene00000093",1.187300324,1152,1155,1364,537,997,NA,NA,NA,NA,NA
"100","WBGene00000094",0.533975422,2482,1739,1057,659,726,NA,NA,NA,NA,NA
"101","WBGene00000095",0.518848896,9077,10438,2959,577,2416,NA,NA,NA,NA,NA
"102","WBGene00000096",0.499388516,2270,3633,839,25,413,NA,NA,NA,NA,NA
"103","WBGene00000097",1.055433393,2946,8122,2674,835,1939,NA,NA,NA,NA,NA
"104","WBGene00000098",1.21694839,6569,1490,3081,6880,4815,NA,NA,NA,NA,NA
"105","WBGene00000099",1.153093815,3473,1782,1282,1971,1238,NA,NA,NA,NA,NA
"106","WBGene00000100",1.381506562,90781,97337,12406,4296,21054,NA,NA,NA,NA,NA
"107","WBGene00000100",1.238574147,90781,97337,12406,4296,21054,NA,NA,NA,NA,NA
"108","WBGene00000100",1.267884135,90781,97337,12406,4296,21054,NA,NA,NA,NA,NA
"109","WBGene00000100",1.303317308,90781,97337,12406,4296,21054,NA,NA,NA,NA,NA
"110","WBGene00000100",1.252105236,90781,97337,12406,4296,21054,NA,NA,NA,NA,NA
"111","WBGene00000101",0.591729522,14598,18149,14007,9757,12021,NA,NA,NA,NA,NA
"112","WBGene00000101",0.66100657,14598,18149,14007,9757,12021,NA,NA,NA,NA,NA
"113","WBGene00000101",0.591259837,14598,18149,14007,9757,12021,NA,NA,NA,NA,NA
"114","WBGene00000102",0.866351366,8726,65516,37478,6013,7788,NA,NA,NA,0.693606853,NA
"115","WBGene00000103",0.954916596,2075,38626,8090,519,3109,NA,NA,NA,0.720250368,NA
"116","WBGene00000105",1.658609629,128533,240369,15864,4862,33220,NA,NA,NA,1.797215819,NA
"117","WBGene00000105",1.641036868,128533,240369,15864,4862,33220,NA,NA,NA,1.797215819,NA
"118","WBGene00000106",1.949610353,26978,38063,2497,7433,9081,NA,NA,NA,NA,NA
"119","WBGene00000107",1.439505696,9844,27727,15883,9673,28588,NA,NA,NA,NA,NA
"120","WBGene00000107",1.429081202,9844,27727,15883,9673,28588,NA,NA,NA,NA,NA
"121","WBGene00000108",0.970641673,0,29,9788,1,4,NA,0.634489059,NA,NA,NA
"122","WBGene00000109",0.945160031,26134,12137,8628,3038,19359,NA,NA,NA,NA,NA
"123","WBGene00000110",1.414831877,8674,51406,11418,6342,15821,NA,NA,NA,1.432251692,NA
"124","WBGene00000110",1.436187983,8674,51406,11418,6342,15821,NA,NA,NA,1.432251692,NA
"125","WBGene00000110",1.403946877,8674,51406,11418,6342,15821,NA,NA,NA,1.432251692,NA
"126","WBGene00000111",1.329436183,1156,8003,723,201,1716,NA,NA,NA,1.272441387,NA
"127","WBGene00000112",1.904558778,3401,10318,6395,2888,10055,NA,NA,NA,NA,NA
"128","WBGene00000112",1.652153134,3401,10318,6395,2888,10055,NA,NA,NA,NA,NA
"129","WBGene00000112",1.645082951,3401,10318,6395,2888,10055,NA,NA,NA,NA,NA
"130","WBGene00000112",1.748288274,3401,10318,6395,2888,10055,NA,NA,NA,NA,NA
"131","WBGene00000113",1.889968753,1382,6293,2689,1330,3236,NA,NA,NA,NA,NA
"132","WBGene00000113",1.762427568,1382,6293,2689,1330,3236,NA,NA,NA,NA,NA
"133","WBGene00000114",2.867983341,23632,699225,232767,50171,95957,NA,NA,NA,3.513749123,NA
"134","WBGene00000114",2.139618635,23632,699225,232767,50171,95957,NA,NA,NA,3.513749123,NA
"135","WBGene00000115",1.39186132,11015,11713,11815,7878,25948,NA,NA,NA,NA,NA
"136","WBGene00000116",0.778541088,4735,2834,653,724,2074,NA,NA,NA,NA,NA
"137","WBGene00000117",0.991132736,2461,7991,2283,1285,4287,NA,NA,NA,NA,NA
"138","WBGene00000117",0.994600773,2461,7991,2283,1285,4287,NA,NA,NA,NA,NA
"139","WBGene00000118",0.847640455,1200,26030,6471,2135,11659,NA,NA,NA,0.931956947,NA
"140","WBGene00000118",0.890435159,1200,26030,6471,2135,11659,NA,NA,NA,0.931956947,NA
"141","WBGene00000120",1.421120286,11773,3557,1773,707,1676,NA,NA,1.525913119,NA,NA
"142","WBGene00000121",1.380507827,4049,3046,3834,5589,4026,NA,NA,NA,NA,NA
"143","WBGene00000122",1.600872159,15545,25835,7675,4571,6296,NA,NA,NA,NA,NA
"144","WBGene00000123",1.592517614,22850,64095,20500,22226,20235,NA,NA,NA,NA,NA
"145","WBGene00000133",1.062720537,3,548,1707,40,78,NA,NA,NA,NA,NA
"146","WBGene00000134",0.698075116,40,976,601,6,106,NA,NA,NA,NA,NA
"147","WBGene00000135",0.386991113,28,7040,2838,25,399,NA,NA,NA,0.194691747,NA
"148","WBGene00000136",0.968740702,347,3134,823,786,8766,NA,NA,NA,NA,0.257049888
"149","WBGene00000137",0.721404374,6203,2781,1431,722,1427,NA,NA,NA,NA,NA
"150","WBGene00000138",0.903056026,1174,13673,2210,716,4227,NA,NA,NA,0.622676492,NA
"151","WBGene00000139",0.547187567,1424,921,915,70,727,NA,NA,NA,NA,NA
"152","WBGene00000139",0.531156003,1424,921,915,70,727,NA,NA,NA,NA,NA
"153","WBGene00000142",0.932243824,5170,2224,3367,1765,3695,NA,NA,NA,NA,NA
"154","WBGene00000143",0.69992733,2904,2590,3461,2057,2081,NA,NA,NA,NA,NA
"155","WBGene00000144",0.785692453,240,132,1553,579,476,NA,NA,NA,NA,NA
"156","WBGene00000144",0.785813212,240,132,1553,579,476,NA,NA,NA,NA,NA
"157","WBGene00000144",0.775543809,240,132,1553,579,476,NA,NA,NA,NA,NA
"158","WBGene00000145",0.866657615,3306,1598,1245,987,735,NA,NA,NA,NA,NA
